LEGACY_CUST_ID,CUSTOMER_NAME,TAX_REGISTRATION_NUM,ADDRESS_LINE1,CITY,STATE_PROVINCE,POSTAL_CODE,COUNTRY,OPEN_BALANCE,STATUS
CUST-42977,Frontier Pharmaceuticals Inc,66-6716097,9505 Broadway Lane,Atlanta,GA,30301,US,28062.37,ACTIVE
CUST-42978,Precision Consulting LLC,83-1899411,1170 Enterprise Lane,Seattle,WA,98101,US,23183.19,ACTIVE
CUST-42979,Crest Aerospace Ltd,86-4786401,2040 Mission Rd,Miami,FL,33101,US,116466.18,ACTIVE
CUST-42980,Zenith Industries Group,89-2010496,9742 Technology Pkwy,Miami,FL,33101,US,91639.82,ACTIVE
CUST-42981,Vertex Healthcare Ltd,32-2259379,4435 Oak Blvd,Boston,MA,02115,US,23901.63,ACTIVE
CUST-42982,Zenith Robotics Holdings,46-8617381,4871 Grand Way,New York,NY,10005,US,11141.37,ACTIVE
CUST-42983,Precision Semiconductor Ltd,GB259976144,7065 Pine Way,London,ENG,EC1A 1BB,GB,136307.51,ACTIVE
CUST-42984,Vanguard Aerospace Inc,25-8863447,2818 Broadway Pkwy,Atlanta,GA,30301,US,103457.36,ACTIVE
CUST-42985,Synapse Energy Holdings,TX-67985905,7272 Oak St,Singapore,SG,018989,SG,110312.82,ACTIVE
CUST-42986,Precision Logistics LLC,15-3939212,3850 Market Pkwy,Miami,FL,33101,US,70839.87,ACTIVE
CUST-42987,Zenith Energy Corp,70-6837817,9690 Technology Lane,Seattle,WA,98101,US,61548.04,ACTIVE
CUST-42988,Vertex Solutions International,GB529982328,6844 Corporate Pkwy,London,ENG,EC1A 1BB,GB,122128.12,ACTIVE
CUST-42989,Summit Industries LLC,61-9633492,5253 Highland Dr,Seattle,WA,98101,US,123826.62,ACTIVE
CUST-42990,Sterling Enterprises Inc,73-8416216,3173 Gateway Dr,Miami,FL,33101,US,114118.59,ACTIVE
CUST-42991,Prime Biotech Corp,13-5014745,4819 Commerce Lane,Seattle,WA,98101,US,106612.53,ACTIVE
CUST-42992,Apex Biotech Partners,25-3583206,1627 Lincoln Ave,Atlanta,GA,30301,US,75007.14,ACTIVE
CUST-42993,Atlas Innovations Group,68-3426689,6907 Corporate Lane,Boston,MA,02115,US,57846.11,ACTIVE
CUST-42994,Cortex Retail LLC,TX-78147397,4626 Technology Dr,Singapore,SG,018989,SG,40442.31,ACTIVE
CUST-42995,Atlas Manufacturing Holdings,52-7328534,2534 Commerce Lane,Denver,CO,80202,US,68574.02,ACTIVE
CUST-42996,Global Financial Partners,70-7395997,3926 Technology St,Denver,CO,80202,US,58218.77,ACTIVE
CUST-42997,Vanguard Consulting Inc,TX-23470708,2168 Gateway Dr,Berlin,BE,10115,DE,131191.46,ACTIVE
CUST-42998,Vertex Innovations Holdings,TX-97883261,351 Maple Rd,Berlin,BE,10115,DE,145508.54,ACTIVE
CUST-42999,Kinetics Energy International,TX-81621574,6612 Oak Dr,Berlin,BE,10115,DE,57311.4,ACTIVE
CUST-43000,Frontier Biotech Inc,21-8280833,1221 Lincoln Pkwy,Boston,MA,02115,US,146761.49,ACTIVE
CUST-43001,Vertex Industries Corp,17-5921894,5006 Market St,Denver,CO,80202,US,54090.27,ACTIVE
CUST-43002,Vanguard Financial Partners,20-7418028,9372 Cedar Blvd,San Francisco,CA,94102,US,93146.7,ACTIVE
CUST-43003,Frontier Semiconductor Corp,42-1157662,3904 Commerce Pkwy,Atlanta,GA,30301,US,134886.83,ACTIVE
CUST-43004,Atlas Biotech Corp,48-8118722,1310 Commerce Dr,Miami,FL,33101,US,103701.87,ACTIVE
CUST-43005,Crest Healthcare Partners,83-7022335,8016 Pine Way,Chicago,IL,60601,US,86434.38,ACTIVE
CUST-43006,Atlas Logistics Partners,TX-91390501,4597 Market St,Singapore,SG,018989,SG,111903.24,ACTIVE
CUST-43007,Atlas Financial International,GB911294971,3688 Washington Pkwy,London,ENG,EC1A 1BB,GB,108278.79,ACTIVE
CUST-43008,Stellar Pharmaceuticals Inc,56-3204724,5161 Commerce St,Miami,FL,33101,US,13974.94,ACTIVE
CUST-43009,Solar Enterprises Corp,74-5572250,3389 Maple Dr,Dallas,TX,75201,US,124655.66,ACTIVE
CUST-43010,Kinetics Manufacturing International,38-7667458,1986 Commerce Ave,San Francisco,CA,94102,US,145106.83,ACTIVE
CUST-43011,Nova Aerospace Partners,57-5398338,328 Highland Ave,Atlanta,GA,30301,US,87891.73,ACTIVE
CUST-43012,Nova Pharmaceuticals Ltd,TX-91883846,7824 Market Dr,Singapore,SG,018989,SG,33594.4,ACTIVE
CUST-43013,Sterling Manufacturing Partners,48-9264869,2011 Maple St,Austin,TX,78701,US,17860.01,ACTIVE
CUST-43014,Stellar Dynamics Holdings,29-7960607,6178 Mission Rd,Miami,FL,33101,US,98410.82,ACTIVE
CUST-43015,Frontier Robotics Partners,66-8460758,4683 Grand Dr,Boston,MA,02115,US,142608.0,ACTIVE
CUST-43016,Nova Pharmaceuticals International,45-4184459,9020 Innovation St,Chicago,IL,60601,US,145246.93,ACTIVE
CUST-43017,Sterling Aerospace Ltd,TX-54762841,9883 Market St,Sydney,NSW,2000,AU,36913.55,ACTIVE
CUST-43018,Omni Aerospace Ltd,28-1047572,9707 Washington Way,Denver,CO,80202,US,41952.59,ACTIVE
CUST-43019,Stellar Biotech Group,11-7010308,2958 Pine St,San Francisco,CA,94102,US,118602.71,ACTIVE
CUST-43020,Solar Logistics Corp,TX-66500369,4447 Grand Blvd,Toronto,ON,M5H 2N2,CA,79149.79,ACTIVE
CUST-43021,Pinnacle Consulting Holdings,74-4716988,6031 Gateway Ave,Atlanta,GA,30301,US,141839.64,ACTIVE
CUST-43022,Endeavor Manufacturing Holdings,TX-63904155,610 Grand Lane,Berlin,BE,10115,DE,64227.91,ACTIVE
CUST-43023,Frontier Industries LLC,26-5614002,1423 Industrial Blvd,Seattle,WA,98101,US,93835.47,ACTIVE
CUST-43024,Solar Dynamics Group,99-2919549,7533 Gateway Rd,Seattle,WA,98101,US,127992.51,ACTIVE
CUST-43025,Omni Enterprises Holdings,TX-70867592,3843 Technology Dr,Berlin,BE,10115,DE,60110.16,ACTIVE
CUST-43026,Vertex Systems Partners,97-8956894,5220 Highland Dr,San Francisco,CA,94102,US,10536.43,ACTIVE
CUST-43027,Nexus Aerospace Partners,17-6530541,1682 Innovation Blvd,Dallas,TX,75201,US,100666.98,ACTIVE
CUST-43028,Terra Enterprises Inc,83-9512969,4812 Broadway Dr,Seattle,WA,98101,US,32304.45,ACTIVE
CUST-43029,Kinetics Financial LLC,45-4794319,5836 Mission Dr,Seattle,WA,98101,US,121179.59,ACTIVE
CUST-43030,Beacon Robotics Group,TX-51471222,574 Cedar Pkwy,Toronto,ON,M5H 2N2,CA,138269.86,ACTIVE
CUST-43031,Apex Solutions Corp,91-1514340,9378 Enterprise Ave,San Francisco,CA,94102,US,14217.77,ACTIVE
CUST-43032,Omni Dynamics Partners,49-6442241,7532 Industrial Blvd,Denver,CO,80202,US,116636.93,ACTIVE
CUST-43033,Nexus Technologies Corp,66-8113787,2679 Grand Ave,New York,NY,10005,US,73106.42,ACTIVE
CUST-43034,Catalyst Energy Ltd,24-5752087,8494 Pine Dr,Chicago,IL,60601,US,101893.57,ACTIVE
CUST-43035,Frontier Innovations Group,17-1128967,844 Lincoln Rd,Miami,FL,33101,US,31061.26,ACTIVE
CUST-43036,Stellar Energy Group,65-3947669,5475 Pine St,Atlanta,GA,30301,US,19813.26,ACTIVE
CUST-43037,Delta Innovations International,12-8713396,1280 Enterprise St,Chicago,IL,60601,US,138213.78,ACTIVE
CUST-43038,Meridian Semiconductor Partners,12-6448705,6943 Broadway Ave,Chicago,IL,60601,US,26195.04,ACTIVE
CUST-43039,Sterling Networks LLC,85-7718433,7255 Pine Way,Chicago,IL,60601,US,78832.4,ACTIVE
CUST-43040,Crest Systems Ltd,91-2913049,5556 Cedar Ave,Dallas,TX,75201,US,79825.42,ACTIVE
CUST-43041,Terra Networks Corp,35-3910830,3971 Pine Blvd,New York,NY,10005,US,90558.65,ACTIVE
CUST-43042,Pinnacle Solutions Holdings,TX-94183695,7701 Commerce Dr,Berlin,BE,10115,DE,47762.76,ACTIVE
CUST-43043,Pinnacle Consulting Holdings,74-2244712,5061 Highland St,Denver,CO,80202,US,46905.97,ACTIVE
CUST-43044,Summit Technologies International,86-9507186,4803 Oak Ave,Miami,FL,33101,US,57980.13,ACTIVE
CUST-43045,Summit Industries Ltd,67-2736473,5367 Corporate Blvd,Austin,TX,78701,US,121739.54,ACTIVE
CUST-43046,Echo Aerospace Corp,77-9770256,741 Lincoln Lane,Atlanta,GA,30301,US,91665.91,ACTIVE
CUST-43047,Nova Manufacturing Partners,TX-94676162,6797 Industrial St,Sydney,NSW,2000,AU,97272.15,ACTIVE
CUST-43048,Echo Pharmaceuticals Partners,20-3372774,4755 Highland Blvd,Denver,CO,80202,US,137553.6,ACTIVE
CUST-43049,Synapse Retail LLC,GB950040559,5172 Mission Rd,London,ENG,EC1A 1BB,GB,49607.24,ACTIVE
CUST-43050,Endeavor Aerospace Partners,49-4024309,8431 Innovation St,Denver,CO,80202,US,142699.81,ACTIVE
CUST-43051,Frontier Healthcare Ltd,22-9517619,2353 Maple Ave,New York,NY,10005,US,115745.77,ACTIVE
CUST-43052,Endeavor Technologies International,33-3777286,2247 Enterprise Blvd,San Francisco,CA,94102,US,108316.86,ACTIVE
CUST-43053,Catalyst Networks Ltd,78-5012581,7377 Broadway Lane,Boston,MA,02115,US,46765.45,ACTIVE
CUST-43054,Kinetics Healthcare International,TX-47818761,9445 Commerce Lane,Sydney,NSW,2000,AU,116829.54,ACTIVE
CUST-42905,Quantum Logistics Group,TX-23756669,4112 Lincoln Blvd,Toronto,ON,M5H 2N2,CA,101666.57,ACTIVE
CUST-42906,Nexus Semiconductor Partners,39-9478454,620 Market Ave,Boston,MA,02115,US,90501.8,ACTIVE
CUST-42907,Global Biotech Partners,TX-10872248,3711 Commerce Pkwy,Sydney,NSW,2000,AU,113941.7,ACTIVE
CUST-42908,Meridian Systems Group,21-7374122,2647 Washington Dr,Seattle,WA,98101,US,14959.1,ACTIVE
