LEGACY_CUST_ID,CUSTOMER_NAME,TAX_REGISTRATION_NUM,ADDRESS_LINE1,CITY,STATE_PROVINCE,POSTAL_CODE,COUNTRY,OPEN_BALANCE,STATUS
CUST-45518,Pinnacle Innovations LLC,TX-36760125,5055 Corporate Lane,Sydney,NSW,2000,AU,77119.79,ACTIVE
CUST-45519,Precision Robotics Holdings,21-4806657,3207 Broadway Dr,Boston,MA,02115,US,83560.71,ACTIVE
CUST-45520,Nexus Energy Corp,TX-82742840,9436 Market St,Toronto,ON,M5H 2N2,CA,11197.0,ACTIVE
CUST-45521,Global Innovations Corp,TX-68958551,2858 Cedar Lane,Sydney,NSW,2000,AU,19254.01,ACTIVE
CUST-45522,Nova Logistics International,57-8949974,8700 Pine Lane,Chicago,IL,60601,US,96360.45,ACTIVE
CUST-45523,Atlantic Consulting Holdings,TX-22603784,2456 Enterprise St,Berlin,BE,10115,DE,101607.67,ACTIVE
CUST-45524,Synapse Dynamics LLC,TX-51769364,6507 Market Dr,Berlin,BE,10115,DE,24800.74,ACTIVE
CUST-45525,Endeavor Systems Partners,14-1539170,3902 Cedar Ave,San Francisco,CA,94102,US,100708.62,ACTIVE
CUST-45526,Terra Aerospace LLC,82-8937384,7415 Corporate Pkwy,San Francisco,CA,94102,US,134718.41,ACTIVE
CUST-45527,Silverline Innovations Inc,TX-31236357,2967 Industrial St,Sydney,NSW,2000,AU,72856.39,ACTIVE
CUST-45528,Nova Consulting Inc,TX-22390933,5159 Enterprise Rd,Sydney,NSW,2000,AU,100728.71,ACTIVE
CUST-45529,Global Healthcare Inc,TX-17850754,2800 Grand Ave,Toronto,ON,M5H 2N2,CA,103829.99,ACTIVE
CUST-45530,Pinnacle Healthcare Corp,27-4589687,1883 Market Way,Austin,TX,78701,US,46855.32,ACTIVE
CUST-45531,Apex Pharmaceuticals Partners,TX-91316535,5139 Mission Blvd,Berlin,BE,10115,DE,557.97,ACTIVE
CUST-45532,Kinetics Logistics Holdings,66-8745201,3477 Mission Ave,Seattle,WA,98101,US,49162.51,ACTIVE
CUST-45533,Precision Robotics LLC,46-1785513,1525 Grand Ave,Denver,CO,80202,US,138109.91,ACTIVE
CUST-45534,Aero Retail LLC,31-5207179,6604 Lincoln Dr,Dallas,TX,75201,US,149655.95,ACTIVE
CUST-45535,Endeavor Manufacturing Group,20-2249749,6734 Washington Dr,San Francisco,CA,94102,US,21029.94,ACTIVE
CUST-45536,Terra Dynamics Holdings,TX-11117607,1611 Enterprise Lane,Berlin,BE,10115,DE,1073.93,ACTIVE
CUST-45537,Stellar Industries Ltd,16-3206544,935 Pine St,Denver,CO,80202,US,96169.94,ACTIVE
CUST-45538,Terra Robotics Holdings,58-9347403,5180 Industrial Ave,Atlanta,GA,30301,US,104903.06,ACTIVE
CUST-45539,Vertex Biotech Group,70-2187238,4049 Pine Ave,New York,NY,10005,US,22483.88,ACTIVE
CUST-45540,Catalyst Logistics Ltd,73-4218860,6449 Market Pkwy,San Francisco,CA,94102,US,80450.94,ACTIVE
CUST-45541,Vanguard Technologies Ltd,92-6544615,9217 Corporate St,San Francisco,CA,94102,US,20532.94,ACTIVE
CUST-45542,Terra Pharmaceuticals Holdings,TX-74518086,9822 Broadway Dr,Sydney,NSW,2000,AU,112227.46,ACTIVE
CUST-45543,Nova Technologies International,TX-99869345,7712 Enterprise Way,Berlin,BE,10115,DE,67128.08,ACTIVE
CUST-45544,Catalyst Pharmaceuticals Partners,43-4897035,7369 Industrial Ave,Seattle,WA,98101,US,132730.93,ACTIVE
CUST-45545,Atlas Dynamics International,TX-49330071,7901 Cedar Ave,Singapore,SG,018989,SG,149328.83,ACTIVE
CUST-45546,Atlas Enterprises Ltd,82-2295330,5546 Oak Blvd,Seattle,WA,98101,US,134167.46,ACTIVE
CUST-45547,Delta Retail Corp,TX-12759369,5438 Enterprise Blvd,Berlin,BE,10115,DE,80670.13,ACTIVE
CUST-45548,Quantum Industries Inc,39-3797718,5137 Lincoln Lane,Miami,FL,33101,US,134823.6,ACTIVE
CUST-45549,Quantum Innovations International,36-1875575,5537 Cedar Lane,New York,NY,10005,US,3823.36,ACTIVE
CUST-45550,Crest Energy LLC,94-3217579,4994 Pine St,New York,NY,10005,US,7511.5,ACTIVE
CUST-45551,Summit Enterprises Group,78-1961711,1643 Corporate Ave,Denver,CO,80202,US,66595.76,ACTIVE
CUST-45552,Meridian Solutions Holdings,12-6762420,6487 Maple St,Atlanta,GA,30301,US,145194.39,ACTIVE
CUST-45553,Quantum Industries LLC,49-5869474,1719 Pine Ave,New York,NY,10005,US,3204.24,ACTIVE
CUST-45554,Quantum Financial Inc,71-3789517,600 Lincoln Pkwy,Miami,FL,33101,US,14034.53,ACTIVE
CUST-45555,Synapse Energy Holdings,TX-71550554,868 Gateway Pkwy,Singapore,SG,018989,SG,43400.87,ACTIVE
CUST-45556,Stellar Aerospace Partners,61-1647625,1212 Highland Dr,Dallas,TX,75201,US,19741.96,ACTIVE
CUST-45557,Summit Consulting Partners,29-8581271,9156 Pine Rd,Chicago,IL,60601,US,146566.77,ACTIVE
CUST-45558,Vanguard Innovations Inc,29-7530393,9187 Gateway Ave,Dallas,TX,75201,US,37556.83,ACTIVE
CUST-45559,Stellar Biotech Group,63-9544388,5179 Gateway Dr,Dallas,TX,75201,US,138963.82,ACTIVE
CUST-45560,Vertex Industries Group,71-4544563,2999 Industrial Dr,Austin,TX,78701,US,15691.74,ACTIVE
