ORIG_SYSTEM_REFERENCE,ACCOUNT_NUMBER,PARTY_NAME,JGZZ_FISCAL_CODE,ADDRESS1,CITY,STATE,POSTAL_CODE,COUNTRY_CODE,ACCOUNT_STATUS,INSERT_UPDATE_FLAG
FBDI-EXT-92556,ACC-966016,Echo Aerospace Partners,39-1458863,426 Grand Way,Boston,MA,02115,US,A,I
FBDI-EXT-99967,ACC-204670,Meridian Financial Inc,70-6318367,6007 Technology Way,Seattle,WA,98101,US,A,I
FBDI-EXT-93898,ACC-740786,Silverline Innovations Corp,33-8297088,5201 Maple Lane,San Francisco,CA,94102,US,A,I
FBDI-EXT-96858,ACC-884827,Echo Technologies LLC,GB380432173,4888 Washington Dr,London,ENG,EC1A 1BB,GB,A,I
FBDI-EXT-91707,ACC-429418,Zenith Logistics International,84-4891983,3576 Commerce Lane,Boston,MA,02115,US,A,I
FBDI-EXT-97277,ACC-559579,Zenith Dynamics Partners,TX-22791280,8593 Lincoln St,Berlin,BE,10115,DE,A,I
FBDI-EXT-98710,ACC-283905,Global Semiconductor Partners,16-4309883,6311 Grand St,Chicago,IL,60601,US,A,I
FBDI-EXT-90892,ACC-538555,Quantum Innovations International,12-4356225,3866 Cedar St,Atlanta,GA,30301,US,A,I
FBDI-EXT-91672,ACC-277360,Frontier Enterprises LLC,81-7939452,8703 Industrial Pkwy,San Francisco,CA,94102,US,A,I
FBDI-EXT-94043,ACC-752117,Apex Technologies Corp,16-3701319,4070 Broadway Pkwy,San Francisco,CA,94102,US,A,I
FBDI-EXT-95076,ACC-334478,Endeavor Industries International,GB683177076,5711 Maple Blvd,London,ENG,EC1A 1BB,GB,A,I
FBDI-EXT-93336,ACC-899214,Cortex Pharmaceuticals Partners,65-8817325,2907 Pine Way,Seattle,WA,98101,US,A,I
FBDI-EXT-99136,ACC-680141,Catalyst Consulting Ltd,GB407397911,939 Grand St,London,ENG,EC1A 1BB,GB,A,I
FBDI-EXT-97323,ACC-430622,Vertex Technologies Ltd,TX-34368072,2246 Grand Blvd,Sydney,NSW,2000,AU,A,I
FBDI-EXT-91526,ACC-389653,Nexus Innovations Holdings,24-2714370,3213 Cedar Pkwy,Austin,TX,78701,US,A,I
FBDI-EXT-92507,ACC-393958,Precision Dynamics Partners,29-5368747,9896 Market Ave,Seattle,WA,98101,US,A,I
FBDI-EXT-97149,ACC-175347,Horizon Semiconductor Ltd,61-4583745,4304 Broadway Lane,Seattle,WA,98101,US,A,I
FBDI-EXT-94230,ACC-694135,Atlas Retail International,20-2604689,1693 Maple Blvd,New York,NY,10005,US,A,I
FBDI-EXT-96456,ACC-818036,Crest Systems Corp,12-5243512,3978 Cedar Rd,Miami,FL,33101,US,A,I
FBDI-EXT-97601,ACC-957661,Cortex Solutions Inc,TX-37818892,8959 Washington Dr,Toronto,ON,M5H 2N2,CA,A,I
FBDI-EXT-97261,ACC-150801,Frontier Systems Partners,GB767964396,7151 Highland St,London,ENG,EC1A 1BB,GB,A,I
FBDI-EXT-99450,ACC-127543,Endeavor Pharmaceuticals Inc,TX-90566737,6025 Highland Lane,Toronto,ON,M5H 2N2,CA,A,I
FBDI-EXT-90663,ACC-408438,Vanguard Technologies Partners,41-6338973,6577 Technology St,Atlanta,GA,30301,US,A,I
FBDI-EXT-93288,ACC-906415,Prime Biotech Inc,GB154761179,6406 Maple Lane,London,ENG,EC1A 1BB,GB,A,I
FBDI-EXT-94259,ACC-827271,Nova Robotics Partners,87-3824884,9048 Lincoln Dr,Austin,TX,78701,US,A,I
FBDI-EXT-98052,ACC-950954,Global Energy Group,11-6095914,2033 Maple Ave,Seattle,WA,98101,US,A,I
FBDI-EXT-99270,ACC-162278,Pinnacle Manufacturing Ltd,82-9854930,3096 Oak Rd,Chicago,IL,60601,US,A,I
FBDI-EXT-98984,ACC-911707,Crest Enterprises LLC,35-4672425,1029 Oak Rd,Denver,CO,80202,US,A,I
FBDI-EXT-95394,ACC-660773,Pinnacle Aerospace Inc,TX-86718658,6618 Commerce Ave,Berlin,BE,10115,DE,A,I
FBDI-EXT-94178,ACC-941241,Summit Innovations Holdings,12-4489819,1856 Grand Lane,San Francisco,CA,94102,US,A,I
FBDI-EXT-98815,ACC-860073,Crest Industries Holdings,54-2483045,3506 Broadway Ave,New York,NY,10005,US,A,I
FBDI-EXT-96593,ACC-889566,Echo Pharmaceuticals Inc,TX-45766076,6355 Maple Ave,Berlin,BE,10115,DE,A,I
